source,id,name,url
UniProt,P17213,Bactericidal permeability-increasing protein,https://www.uniprot.org/uniprotkb/P17213
UniProt,P17480,Nucleolar transcription factor 1,https://www.uniprot.org/uniprotkb/P17480
UniProt,P17752,Tryptophan 5-hydroxylase 1,https://www.uniprot.org/uniprotkb/P17752
UniProt,P18206,Vinculin,https://www.uniprot.org/uniprotkb/P18206
UniProt,P18564,Integrin beta-6,https://www.uniprot.org/uniprotkb/P18564
UniProt,P19367,Hexokinase-1,https://www.uniprot.org/uniprotkb/P19367
UniProt,P19474,E3 ubiquitin-protein ligase TRIM21,https://www.uniprot.org/uniprotkb/P19474
UniProt,P20042,Eukaryotic translation initiation factor 2 subunit 2,https://www.uniprot.org/uniprotkb/P20042
UniProt,P20160,Azurocidin,https://www.uniprot.org/uniprotkb/P20160
UniProt,P20648,Potassium-transporting ATPase alpha chain 1,https://www.uniprot.org/uniprotkb/P20648
UniProt,P20711,Aromatic-L-amino-acid decarboxylase,https://www.uniprot.org/uniprotkb/P20711
UniProt,P20916,Myelin-associated glycoprotein,https://www.uniprot.org/uniprotkb/P20916
UniProt,P21728,D(1A) dopamine receptor,https://www.uniprot.org/uniprotkb/P21728
UniProt,P21817,Ryanodine receptor 1,https://www.uniprot.org/uniprotkb/P21817
UniProt,P21980,Protein-glutamine gamma-glutamyltransferase 2,https://www.uniprot.org/uniprotkb/P21980
UniProt,P22087,rRNA 2'-O-methyltransferase fibrillarin,https://www.uniprot.org/uniprotkb/P22087
UniProt,P22459,Potassium voltage-gated channel subfamily A member 4,https://www.uniprot.org/uniprotkb/P22459
UniProt,P22607,Fibroblast growth factor receptor 3,https://www.uniprot.org/uniprotkb/P22607
UniProt,P23280,Carbonic anhydrase 6,https://www.uniprot.org/uniprotkb/P23280
UniProt,P23415,Glycine receptor subunit alpha-1,https://www.uniprot.org/uniprotkb/P23415
UniProt,P23497,Nuclear autoantigen Sp-100,https://www.uniprot.org/uniprotkb/P23497
UniProt,P24158,Myeloblastin,https://www.uniprot.org/uniprotkb/P24158
UniProt,P25101,Endothelin-1 receptor,https://www.uniprot.org/uniprotkb/P25101
UniProt,P26378,ELAV-like protein 4,https://www.uniprot.org/uniprotkb/P26378
UniProt,P27352,Cobalamin binding intrinsic factor,https://www.uniprot.org/uniprotkb/P27352
UniProt,P28069,Pituitary-specific positive transcription factor 1,https://www.uniprot.org/uniprotkb/P28069
UniProt,P28472,Gamma-aminobutyric acid receptor subunit beta-3,https://www.uniprot.org/uniprotkb/P28472
UniProt,P29459,Interleukin-12 subunit alpha,https://www.uniprot.org/uniprotkb/P29459
UniProt,P29460,Interleukin-12 subunit beta,https://www.uniprot.org/uniprotkb/P29460
UniProt,P29590,Protein PML,https://www.uniprot.org/uniprotkb/P29590
UniProt,P30556,Type-1 angiotensin II receptor,https://www.uniprot.org/uniprotkb/P30556
UniProt,P32926,Desmoglein-3,https://www.uniprot.org/uniprotkb/P32926
UniProt,P33778,Histone H2B type 1-B,https://www.uniprot.org/uniprotkb/P33778
UniProt,P35219,Carbonic anhydrase-related protein,https://www.uniprot.org/uniprotkb/P35219
UniProt,P35222,Catenin beta-1,https://www.uniprot.org/uniprotkb/P35222
UniProt,P36544,Neuronal acetylcholine receptor subunit alpha-7,https://www.uniprot.org/uniprotkb/P36544
UniProt,P36957,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",https://www.uniprot.org/uniprotkb/P36957
UniProt,P37198,Nuclear pore glycoprotein p62,https://www.uniprot.org/uniprotkb/P37198
UniProt,P38405,Guanine nucleotide-binding protein G(olf) subunit alpha,https://www.uniprot.org/uniprotkb/P38405
UniProt,P40293,B-cell antigen receptor complex-associated protein alpha chain,https://www.uniprot.org/uniprotkb/P40293
UniProt,P41250,Glycine--tRNA ligase,https://www.uniprot.org/uniprotkb/P41250
UniProt,P41252,"Isoleucine--tRNA ligase, cytoplasmic",https://www.uniprot.org/uniprotkb/P41252
UniProt,P41594,Metabotropic glutamate receptor 5,https://www.uniprot.org/uniprotkb/P41594
UniProt,P42261,Glutamate receptor 1,https://www.uniprot.org/uniprotkb/P42261
UniProt,P42262,Glutamate receptor 2,https://www.uniprot.org/uniprotkb/P42262
UniProt,P42658,A-type potassium channel modulatory protein DPP6,https://www.uniprot.org/uniprotkb/P42658
UniProt,P46013,Proliferation marker protein Ki-67,https://www.uniprot.org/uniprotkb/P46013
UniProt,P46821,Microtubule-associated protein 1B,https://www.uniprot.org/uniprotkb/P46821
UniProt,P49418,Amphiphysin,https://www.uniprot.org/uniprotkb/P49418
UniProt,P49450,Histone H3-like centromeric protein A,https://www.uniprot.org/uniprotkb/P49450
UniProt,P49588,"Alanine--tRNA ligase, cytoplasmic",https://www.uniprot.org/uniprotkb/P49588
UniProt,P49590,"Histidine--tRNA ligase, mitochondrial",https://www.uniprot.org/uniprotkb/P49590
UniProt,P51164,Potassium-transporting ATPase subunit beta,https://www.uniprot.org/uniprotkb/P51164
UniProt,P51513,RNA-binding protein Nova-1,https://www.uniprot.org/uniprotkb/P51513
UniProt,P54577,"Tyrosine--tRNA ligase, cytoplasmic",https://www.uniprot.org/uniprotkb/P54577
UniProt,P55064,Aquaporin-5,https://www.uniprot.org/uniprotkb/P55064
UniProt,P55087,Aquaporin-4,https://www.uniprot.org/uniprotkb/P55087
UniProt,P60568,Interleukin-2,https://www.uniprot.org/uniprotkb/P60568
UniProt,P60709,"Actin, cytoplasmic 1",https://www.uniprot.org/uniprotkb/P60709
UniProt,P61289,Proteasome activator complex subunit 3,https://www.uniprot.org/uniprotkb/P61289
UniProt,P62318,Small nuclear ribonucleoprotein Sm D3,https://www.uniprot.org/uniprotkb/P62318
UniProt,P62805,Histone H4,https://www.uniprot.org/uniprotkb/P62805
UniProt,P67809,Y-box-binding protein 1,https://www.uniprot.org/uniprotkb/P67809
UniProt,P68431,Histone H3.1,https://www.uniprot.org/uniprotkb/P68431
UniProt,P78357,Contactin-associated protein 1,https://www.uniprot.org/uniprotkb/P78357
UniProt,Q01082,"Spectrin beta chain, non-erythrocytic 1",https://www.uniprot.org/uniprotkb/Q01082
UniProt,Q01107,Desmocollin-1,https://www.uniprot.org/uniprotkb/Q01107
UniProt,Q01780,Exosome complex component 10,https://www.uniprot.org/uniprotkb/Q01780
UniProt,Q01850,Cerebellar degeneration-related protein 2,https://www.uniprot.org/uniprotkb/Q01850
UniProt,Q01955,Collagen alpha-3(IV) chain,https://www.uniprot.org/uniprotkb/Q01955
UniProt,Q01973,Inactive tyrosine-protein kinase transmembrane receptor ROR1,https://www.uniprot.org/uniprotkb/Q01973
UniProt,Q02218,2-oxoglutarate dehydrogenase complex component E1,https://www.uniprot.org/uniprotkb/Q02218
UniProt,Q02388,Collagen alpha-1(VII) chain,https://www.uniprot.org/uniprotkb/Q02388
UniProt,Q02413,Desmoglein-1,https://www.uniprot.org/uniprotkb/Q02413
UniProt,Q03001,Dystonin,https://www.uniprot.org/uniprotkb/Q03001
UniProt,Q03188,Centromere protein C,https://www.uniprot.org/uniprotkb/Q03188
UniProt,Q05329,Glutamate decarboxylase 2,https://www.uniprot.org/uniprotkb/Q05329
UniProt,Q05586,"Glutamate receptor ionotropic, NMDA 1",https://www.uniprot.org/uniprotkb/Q05586
UniProt,Q06265,Exosome complex component RRP45,https://www.uniprot.org/uniprotkb/Q06265
UniProt,Q08188,Protein-glutamine gamma-glutamyltransferase E,https://www.uniprot.org/uniprotkb/Q08188
UniProt,Q0VDF9,Heat shock 70 kDa protein 14,https://www.uniprot.org/uniprotkb/Q0VDF9
UniProt,Q12860,Contactin-1,https://www.uniprot.org/uniprotkb/Q12860
UniProt,Q12879,"Glutamate receptor ionotropic, NMDA 2A",https://www.uniprot.org/uniprotkb/Q12879
UniProt,Q12926,ELAV-like protein 2,https://www.uniprot.org/uniprotkb/Q12926
UniProt,Q13002,"Glutamate receptor ionotropic, kainate 2",https://www.uniprot.org/uniprotkb/Q13002
UniProt,Q13018,Secretory phospholipase A2 receptor,https://www.uniprot.org/uniprotkb/Q13018
UniProt,Q13098,COP9 signalosome complex subunit 1,https://www.uniprot.org/uniprotkb/Q13098
UniProt,Q13224,"Glutamate receptor ionotropic, NMDA 2B",https://www.uniprot.org/uniprotkb/Q13224
UniProt,Q13255,Metabotropic glutamate receptor 1,https://www.uniprot.org/uniprotkb/Q13255
UniProt,Q13751,Laminin subunit beta-3,https://www.uniprot.org/uniprotkb/Q13751
UniProt,Q13753,Laminin subunit gamma-2,https://www.uniprot.org/uniprotkb/Q13753
UniProt,Q13813,"Spectrin alpha chain, non-erythrocytic 1",https://www.uniprot.org/uniprotkb/Q13813
UniProt,Q14574,Desmocollin-3,https://www.uniprot.org/uniprotkb/Q14574
UniProt,Q14576,ELAV-like protein 3,https://www.uniprot.org/uniprotkb/Q14576
UniProt,Q14643,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR1",https://www.uniprot.org/uniprotkb/Q14643
UniProt,Q16181,Septin-7,https://www.uniprot.org/uniprotkb/Q16181
UniProt,Q16552,Interleukin-17A,https://www.uniprot.org/uniprotkb/Q16552
UniProt,Q16653,Myelin-oligodendrocyte glycoprotein,https://www.uniprot.org/uniprotkb/Q16653
UniProt,Q16787,Laminin subunit alpha-3,https://www.uniprot.org/uniprotkb/Q16787
UniProt,Q19KS2,Lactoferrin,https://www.uniprot.org/uniprotkb/Q19KS2
UniProt,Q53G59,Kelch-like protein 12,https://www.uniprot.org/uniprotkb/Q53G59
UniProt,Q5JTZ9,"Alanine--tRNA ligase, mitochondrial",https://www.uniprot.org/uniprotkb/Q5JTZ9
UniProt,Q6NZY4,Zinc finger CCHC domain-containing protein 8,https://www.uniprot.org/uniprotkb/Q6NZY4
UniProt,Q6P2E9,Enhancer of mRNA-decapping protein 4,https://www.uniprot.org/uniprotkb/Q6P2E9
UniProt,Q6UXD5,Seizure 6-like protein 2,https://www.uniprot.org/uniprotkb/Q6UXD5
UniProt,Q6ZTA4,Tripartite motif-containing protein 67,https://www.uniprot.org/uniprotkb/Q6ZTA4
UniProt,Q76LX8,A disintegrin and metalloproteinase with thrombospondin motifs 13,https://www.uniprot.org/uniprotkb/Q76LX8
UniProt,Q7Z4K8,Tripartite motif-containing protein 46,https://www.uniprot.org/uniprotkb/Q7Z4K8
UniProt,Q86X02,Cerebellar degeneration-related protein 2-like,https://www.uniprot.org/uniprotkb/Q86X02
UniProt,Q8IWQ3,Serine/threonine-protein kinase BRSK2,https://www.uniprot.org/uniprotkb/Q8IWQ3
UniProt,Q8IWU4,Proton-coupled zinc antiporter SLC30A8,https://www.uniprot.org/uniprotkb/Q8IWU4
UniProt,Q8N4E7,"Ferritin, mitochondrial",https://www.uniprot.org/uniprotkb/Q8N4E7
UniProt,Q8N9L1,Zinc finger protein ZIC 4,https://www.uniprot.org/uniprotkb/Q8N9L1
UniProt,Q8ND56,Protein LSM14 homolog A,https://www.uniprot.org/uniprotkb/Q8ND56
UniProt,Q8ND90,Paraneoplastic antigen Ma1,https://www.uniprot.org/uniprotkb/Q8ND90
UniProt,Q8NDV7,Trinucleotide repeat-containing gene 6A protein,https://www.uniprot.org/uniprotkb/Q8NDV7
UniProt,Q8NFT8,Delta and Notch-like epidermal growth factor-related receptor,https://www.uniprot.org/uniprotkb/Q8NFT8
UniProt,Q8TD16,Protein bicaudal D homolog 2,https://www.uniprot.org/uniprotkb/Q8TD16
UniProt,Q8TEM1,Nuclear pore membrane glycoprotein 210,https://www.uniprot.org/uniprotkb/Q8TEM1
UniProt,Q8WZ42,Titin,https://www.uniprot.org/uniprotkb/Q8WZ42
UniProt,Q92817,Envoplakin,https://www.uniprot.org/uniprotkb/Q92817
UniProt,Q92932,Receptor-type tyrosine-protein phosphatase N2,https://www.uniprot.org/uniprotkb/Q92932
UniProt,Q96DR5,BPI fold-containing family A member 2,https://www.uniprot.org/uniprotkb/Q96DR5
UniProt,Q96I59,Asparaginyl-tRNA synthetase,https://www.uniprot.org/uniprotkb/Q96I59
UniProt,Q96LT9,RNA-binding region-containing protein 3,https://www.uniprot.org/uniprotkb/Q96LT9
UniProt,Q96PD4,Interleukin-17F,https://www.uniprot.org/uniprotkb/Q96PD4
UniProt,Q96PL5,Erythroid membrane-associated protein,https://www.uniprot.org/uniprotkb/Q96PL5
UniProt,Q96T92,Insulinoma-associated protein 2,https://www.uniprot.org/uniprotkb/Q96T92
UniProt,Q99259,Glutamate decarboxylase 1,https://www.uniprot.org/uniprotkb/Q99259
UniProt,Q99719,Septin-5,https://www.uniprot.org/uniprotkb/Q99719
UniProt,Q9BPU6,Dihydropyrimidinase-related protein 5,https://www.uniprot.org/uniprotkb/Q9BPU6
